SI:7 Agent,HIGH
SI:7 Agent,MEDIUM
Preparation,HIGH
Preparation,LOW
Backstab,HIGH
Edwin VanCleef,HIGH
Edwin VanCleef,MEDIUM
Raiding Party,HIGH
EVIL Miscreant,HIGH
Waggle Pick,HIGH
Leeroy Jenkins,HIGH
Leeroy Jenkins,MEDIUM
Dread Corsair,HIGH
Eviscerate,HIGH
Eviscerate,MEDIUM
Preparation,SI:7 Agent,HIGH
Backstab,SI:7 Agent,HIGH
Edwin VanCleef,SI:7 Agent,HIGH
Raiding Party,SI:7 Agent,HIGH
EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,SI:7 Agent,HIGH
Leeroy Jenkins,SI:7 Agent,HIGH
Dread Corsair,SI:7 Agent,HIGH
Eviscerate,SI:7 Agent,HIGH
Backstab,Preparation,HIGH
Edwin VanCleef,Preparation,HIGH
Preparation,Raiding Party,HIGH
EVIL Miscreant,Preparation,HIGH
Waggle Pick,Preparation,HIGH
Leeroy Jenkins,Preparation,HIGH
Preparation,Dread Corsair,HIGH
Eviscerate,Preparation,HIGH
Eviscerate,Preparation,MEDIUM
Edwin VanCleef,Backstab,HIGH
Edwin VanCleef,Backstab,MEDIUM
Backstab,Raiding Party,HIGH
EVIL Miscreant,Backstab,HIGH
Waggle Pick,Backstab,HIGH
Backstab,Leeroy Jenkins,HIGH
Backstab,Dread Corsair,HIGH
Backstab,Eviscerate,HIGH
Backstab,Eviscerate,MEDIUM
Edwin VanCleef,Raiding Party,HIGH
Edwin VanCleef,EVIL Miscreant,HIGH
Edwin VanCleef,Waggle Pick,HIGH
Edwin VanCleef,Leeroy Jenkins,HIGH
Edwin VanCleef,Dread Corsair,HIGH
Edwin VanCleef,Eviscerate,HIGH
Edwin VanCleef,Eviscerate,MEDIUM
EVIL Miscreant,Raiding Party,HIGH
Waggle Pick,Raiding Party,HIGH
Leeroy Jenkins,Raiding Party,HIGH
Dread Corsair,Raiding Party,HIGH
Eviscerate,Raiding Party,HIGH
Waggle Pick,EVIL Miscreant,HIGH
EVIL Miscreant,Leeroy Jenkins,HIGH
EVIL Miscreant,Dread Corsair,HIGH
EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Leeroy Jenkins,HIGH
Waggle Pick,Dread Corsair,HIGH
Waggle Pick,Eviscerate,HIGH
Leeroy Jenkins,Dread Corsair,HIGH
Leeroy Jenkins,Eviscerate,HIGH
Eviscerate,Dread Corsair,HIGH
Backstab,Preparation,SI:7 Agent,HIGH
Edwin VanCleef,Preparation,SI:7 Agent,HIGH
Preparation,Raiding Party,SI:7 Agent,HIGH
EVIL Miscreant,Preparation,SI:7 Agent,HIGH
Waggle Pick,Preparation,SI:7 Agent,HIGH
Leeroy Jenkins,Preparation,SI:7 Agent,HIGH
Preparation,Dread Corsair,SI:7 Agent,HIGH
Eviscerate,Preparation,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,SI:7 Agent,HIGH
Backstab,Raiding Party,SI:7 Agent,HIGH
EVIL Miscreant,Backstab,SI:7 Agent,HIGH
Waggle Pick,Backstab,SI:7 Agent,HIGH
Backstab,Leeroy Jenkins,SI:7 Agent,HIGH
Backstab,Dread Corsair,SI:7 Agent,HIGH
Backstab,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Raiding Party,SI:7 Agent,HIGH
Edwin VanCleef,EVIL Miscreant,SI:7 Agent,HIGH
Edwin VanCleef,Waggle Pick,SI:7 Agent,HIGH
Edwin VanCleef,Leeroy Jenkins,SI:7 Agent,HIGH
Edwin VanCleef,Dread Corsair,SI:7 Agent,HIGH
Edwin VanCleef,Eviscerate,SI:7 Agent,HIGH
EVIL Miscreant,Raiding Party,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,SI:7 Agent,HIGH
Dread Corsair,Raiding Party,SI:7 Agent,HIGH
Eviscerate,Raiding Party,SI:7 Agent,HIGH
Waggle Pick,EVIL Miscreant,SI:7 Agent,HIGH
EVIL Miscreant,Leeroy Jenkins,SI:7 Agent,HIGH
EVIL Miscreant,Dread Corsair,SI:7 Agent,HIGH
EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Leeroy Jenkins,SI:7 Agent,HIGH
Waggle Pick,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Eviscerate,SI:7 Agent,HIGH
Eviscerate,Dread Corsair,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Preparation,HIGH
Backstab,Preparation,Raiding Party,HIGH
EVIL Miscreant,Backstab,Preparation,HIGH
Waggle Pick,Backstab,Preparation,HIGH
Backstab,Preparation,Leeroy Jenkins,HIGH
Backstab,Preparation,Dread Corsair,HIGH
